Unnamed: 0,Id,groupId,matchId,maxPlace,numGroups,rankPoints,revives,matchType_crashfpp,matchType_crashtpp,matchType_duo,matchType_duo-fpp,matchType_normal-duo-fpp,matchType_normal-solo-fpp,matchType_normal-squad-fpp,matchType_solo,matchType_solo-fpp,matchType_squad,matchType_squad-fpp,game_vector,aggregate_vector
2093518,a3e3cea9f2e314,c9f6eaa81245b5,a3d8693390584c,31,29,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[-0.398275862772851, -0.6412364113171386, -0.6211202454705508, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 1.2599839912074058, 1.5323422473512047, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, -0.7030120455483959, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, -0.8005131963266521, -1.027866491201711, 1.287219270155958]","[-0.6120417990159291, -0.6211202454705508, -0.8005131963266521, -0.3983363991301508, -0.6412364113171386, -0.5048542334826717, 1.2599839912074058]"
3701672,43e4be7ad72cc7,521836de101ee8,b65de9055327e0,30,30,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[-0.398275862772851, -0.6412364113171386, -0.5542332120722728, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 0.2889950723068477, 1.191666051061857, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, 1.4399837838081255, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, 0.6388434502166267, 1.4282063671058423, 1.2749439707095889]","[-0.6120417990159291, -0.5542332120722728, 0.6388434502166267, -0.3983363991301508, -0.6412364113171386, -0.5048542334826717, 0.2889950723068477]"
2059784,9a68690e31fdff,4a72ffa2cebd90,d6aad3f9830e60,96,89,1516,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[-0.398275862772851, -0.043068117178016806, -0.4858570424944414, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 0.037257204443739984, -0.7768638567421556, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, 0.5722213881179848, 2.2502252686577857, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, -0.25571340601505954, 1.4282063671058423, -0.7927620249232471]","[-0.6120417990159291, -0.4858570424944414, -0.25571340601505954, 2.2502252686577857, -0.043068117178016806, -0.5048542334826717, 0.037257204443739984]"
1302036,b147e1bd448fc4,9a8991656b3fea,d931c0932d8aca,28,27,-1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[-0.398275862772851, -0.6412364113171386, -0.7820090002031435, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 0.25303251975497515, 1.2896908056545469, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, 0.5609027481742004, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, -0.8921604647761079, -1.4372119675863033, 1.2735800485488813]","[-0.6120417990159291, -0.7820090002031435, -0.8921604647761079, -0.3983363991301508, -0.6412364113171386, -0.5048542334826717, 0.25303251975497515]"
297180,d818b4edd59612,eece87c8b846b3,ec2b5ed94baae3,99,95,1482,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"[-0.398275862772851, 0.555100176961105, -0.1615355920558522, -0.5727955459189632, -0.3717886566871876, 0.665596075982564, -0.646031294041838, -0.7768638567421556, 0.09470392733040937, 0.6860142934837, -0.29849820289841766, 2.2775631396481746, 0.19668293445508425, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, 0.4783446335703223, 0.6095154143366578, -0.7927620249232471]","[0.09470392733040937, -0.1615355920558522, 0.4783446335703223, 0.19668293445508425, 0.555100176961105, 0.665596075982564, -0.646031294041838]"
2862125,e705cb7a4446ea,9d7180a567d020,b146588581df18,94,90,1503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[-0.398275862772851, -0.6412364113171386, -0.7820090002031435, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 0.36092017741059274, -0.7768638567421556, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, -0.8727916447051626, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, -0.5604167432014445, -0.20917553843252668, -0.7927620249232471]","[-0.6120417990159291, -0.7820090002031435, -0.5604167432014445, -0.3983363991301508, -0.6412364113171386, -0.5048542334826717, 0.36092017741059274]"
365937,e253262031e08f,e5df2dcdaf3f4b,c1385ae84655e6,99,98,1464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[-0.398275862772851, -0.6412364113171386, -0.7820090002031435, -0.5727955459189632, -0.3717886566871876, -0.5048542334826717, 1.1520963335517882, -0.7768638567421556, -0.6120417990159291, -0.7521708081592771, -0.4427010193248454, -0.34836132730981667, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, -0.886416725398664, -1.027866491201711, -0.7927620249232471]","[-0.6120417990159291, -0.7820090002031435, -0.886416725398664, -0.3983363991301508, -0.6412364113171386, -0.5048542334826717, 1.1520963335517882]"
3651102,c264a5ce0d4ca1,0efbbf391d7f62,b280791eb7a3fd,97,94,1544,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"[-0.398275862772851, 4.144109941795835, 0.2740367404635462, -0.5727955459189632, -0.3717886566871876, -0.11470413032759312, -0.8618066093530732, -0.7768638567421556, 0.09470392733040937, 0.6860142934837, 0.17161006112171767, 1.4286651438643412, -0.3983363991301508, -0.060108292477564565, 6.714533050333621, -0.14492584511891096, -0.10674760375242259, 1.7623351667407572, 0.6095154143366578, -0.7927620249232471]","[0.09470392733040937, 0.2740367404635462, 1.7623351667407572, -0.3983363991301508, 4.144109941795835, -0.11470413032759312, -0.8618066093530732]"
2363197,342437cd2b5680,7acbacbed1b711,99cbf12f555f61,47,45,1492,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.398275862772851, 0.555100176961105, 1.319534433191732, 1.2869302525192288, -0.3717886566871876, 5.347397313843507, -1.5450951078386512, -0.7768638567421556, 2.214941106369425, 2.124199395126677, -0.17748115661991237, 1.5078956234708323, 1.7714368458360428, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, 0.580183984234221, 0.6095154143366578, -0.7927620249232471]","[2.214941106369425, 1.319534433191732, 0.580183984234221, 1.7714368458360428, 0.555100176961105, 5.347397313843507, -1.5450951078386512]"
271498,3cf3cc81325a37,537c4bd393dcff,38a8b94623d77d,32,30,1449,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"[3.525624263068045, -0.043068117178016806, 0.6500436258008049, 1.2869302525192288, -0.3717886566871876, -0.11470413032759312, -1.4731700027349062, -0.7768638567421556, 1.5081953800230863, 2.124199395126677, 2.8096437482092944, -0.8161984449862404, -0.3983363991301508, -0.060108292477564565, -0.16114185127773303, -0.14492584511891096, -0.10674760375242259, 2.156657132511373, 0.6095154143366578, -0.7927620249232471]","[1.5081953800230863, 0.6500436258008049, 2.156657132511373, -0.3983363991301508, -0.043068117178016806, -0.11470413032759312, -1.4731700027349062]"
