user_id,gaming_score,impression_score,community_score,link_prediction_score,bonus_score,composite_score,crew_level,gaming_time,norm_gaming_score,norm_impression_score,norm_community_score,norm_link_prediction_score,norm_bonus_score,norm_composite_score
8onuMP9I7nZ,0.0,-0.679351954963726,0.04,0.8,0.38,-0.35495056310237505,1,0.0,-0.18585347989123235,-0.707091933159418,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.35495056310237505
,0.0,0.0,0.03,0.6000000000000001,0.38,-0.19495608344276688,2,0.0,-0.18585347989123235,-3.555559264902522e-17,-0.45834667581216676,-0.46682685947090247,5.551115123125783e-17,-0.19495608344276688
h2G2Dh2qXgd,0.0,0.2405018384560885,0.2,4.12,0.38,0.15956584585949352,3,0.0,-0.18585347989123235,0.2503222499615679,0.49373749698656294,0.5168378881890748,5.551115123125783e-17,0.15956584585949352
aNJgOtgX8QS,0.0,-0.3376124989279994,0.038,0.76,0.38,-0.26938283804022145,2,0.0,-0.18585347989123235,-0.3513982300066063,-0.4135427147392853,-0.42211482548635804,5.551115123125783e-17,-0.26938283804022145
4iGFY2vnfXl,151.0,3.405656825050052,0.6546000000000001,13.121825558810032,0.38,1.7640536839136463,3,201.0,-0.10859522474867057,3.5447200092782363,3.039722584953049,3.032399952616917,5.551115123125783e-17,1.7640536839136463
coDf68PddVT,0.0,-0.4303068888059229,0.08,1.6,0.38,-0.2230329677619534,2,0.0,-0.18585347989123235,-0.4478776098816718,-0.178321919106658,-0.18737664706749982,5.551115123125783e-17,-0.2230329677619534
gydDgYWgsb4,0.0,-0.4387808172133597,0.08,1.8,0.38,-0.21405994534677622,2,0.0,-0.18585347989123235,-0.4566975542055075,-0.178321919106658,-0.1314866045868193,5.551115123125783e-17,-0.21405994534677622
hWfpuxqAY1h,0.0,-0.1586974124347591,0.013000000000000001,0.26,0.38,-0.2647739155727721,2,0.0,-0.18585347989123235,-0.16517750383434596,-0.5535550930920398,-0.5618399316880595,5.551115123125783e-17,-0.2647739155727721
qYXpkwYo6E,0.0,0.5250814365242444,0.08,1.8,0.38,0.03674496487501989,3,0.0,-0.18585347989123235,0.546522086681677,-0.178321919106658,-0.1314866045868193,5.551115123125783e-17,0.03674496487501989
go4t4CCJQun,0.0,-0.6854497049871573,0.04,0.8,0.38,-0.35653724796450265,1,0.0,-0.18585347989123235,-0.7134386726079283,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.35653724796450265
2FojXVasiAU,21.25,0.0,0.0,0.0,0.38,-0.24202986336308302,2,28.0,-0.17498104332315662,-3.555559264902522e-17,-0.626361529835472,-0.6344969869129441,5.551115123125783e-17,-0.24202986336308302
ehOtjcOmssV,0.0,-0.6369585146020269,0.04,0.8,0.38,-0.343919440177207,2,0.0,-0.18585347989123235,-0.6629674414587458,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.343919440177207
40v34Q4v7yF,0.0,-0.7506327982850082,0.001,0.020000000000000004,0.38,-0.4389345907547338,1,0.0,-0.18585347989123235,-0.7812833871370107,-0.6207610347013618,-0.628907982664876,5.551115123125783e-17,-0.4389345907547338
cKQ4lmgmmuZ,0.0,-0.7475260873707014,0.001,0.020000000000000004,0.38,-0.4381261989446735,1,0.0,-0.18585347989123235,-0.7780498198967694,-0.6207610347013618,-0.628907982664876,5.551115123125783e-17,-0.4381261989446735
lkzZygGJ2Rs,64.75,0.0,0.0,0.0,0.38,-0.23535290820010002,2,86.0,-0.15272452611321333,-3.555559264902522e-17,-0.626361529835472,-0.6344969869129441,5.551115123125783e-17,-0.23535290820010002
9w5G684xRg5,0.0,-0.5448509316181058,0.04,0.8,0.38,-0.31995228720337776,2,0.0,-0.18585347989123235,-0.5670988295634288,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.31995228720337776
d8iVQaIkApu,0.0,-0.7376631986625046,0.0076,0.15200000000000002,0.38,-0.42448598153866446,1,0.0,-0.18585347989123235,-0.7677841998565835,-0.5837977668162346,-0.5920205546276268,5.551115123125783e-17,-0.42448598153866446
aMNEPU8ekon,0.0,-0.4491475706558946,0.021,0.4812692567522842,0.38,-0.32350429866949215,2,0.0,-0.18585347989123235,-0.46748761328859423,-0.5087511320191582,-0.5000061908902905,5.551115123125783e-17,-0.32350429866949215
9NaVg1mwD6N,0.0,-0.6834948026175286,0.04,0.8,0.38,-0.35602856624011114,1,0.0,-0.18585347989123235,-0.7114039457103624,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.35602856624011114
eXyNiD5L4V9,0.0,-0.5408944854022375,0.005,0.1,0.38,-0.3776475499634536,1,0.0,-0.18585347989123235,-0.5629808297802841,-0.5983590541649211,-0.6065519656726037,5.551115123125783e-17,-0.3776475499634536
5Yi6LZotekC,0.0,0.5088578848080754,0.24,4.853333333333334,0.38,0.2927823147286944,3,0.0,-0.18585347989123235,0.5296360786826122,0.7177573023509698,0.7217680439515703,5.551115123125783e-17,0.2927823147286944
4B8bgvViyes,0.0,0.1956109040386487,0.04,0.8,0.38,-0.12727800880475967,2,0.0,-0.18585347989123235,0.20359828403104369,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.12727800880475967
97gB2vyy1zF,0.0,-0.6591038025238037,0.04,0.8,0.38,-0.34968182679160087,2,0.0,-0.18585347989123235,-0.6860169879163213,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.34968182679160087
2A2KvdrxVw3,0.0,-0.4885182771815389,0.040999999999999995,0.8200000000000001,0.38,-0.3036162154153187,2,0.0,-0.18585347989123235,-0.5084659438632908,-0.3967412293369548,-0.40534781274215387,5.551115123125783e-17,-0.3036162154153187
8fHcxsdsFsR,0.0,-0.449879698730445,0.08,1.8,0.38,-0.2169479658825537,2,0.0,-0.18585347989123235,-0.46824963634861727,-0.178321919106658,-0.1314866045868193,5.551115123125783e-17,-0.2169479658825537
9f8Eh0oVGjG,0.0,-0.6865436776292442,0.04,0.8,0.38,-0.3568219086711749,1,0.0,-0.18585347989123235,-0.7145773154346174,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.3568219086711749
5u6rAffbiIy,2929.75,0.0,0.0,0.0,0.38,0.20440517322395196,3,3906.0,1.3131357453002932,-3.555559264902522e-17,-0.626361529835472,-0.6344969869129441,5.551115123125783e-17,0.20440517322395196
19j1uB3LTUD,0.0,-0.7134533979509147,0.04,0.8,0.38,-0.36382403990227047,1,0.0,-0.18585347989123235,-0.7425858403589997,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.36382403990227047
3oYkVCJdEag,0.0,0.8449232396750856,0.45599999999999996,9.17216574679453,0.38,0.7425797145339074,3,0.0,-0.18585347989123235,0.8794239900952,1.9274642513187674,1.9286666792280016,5.551115123125783e-17,0.7425797145339074
iKMdJpTzYVs,0.0,-0.7478341883398734,0.001,0.020000000000000004,0.38,-0.4382063693586644,1,0.0,-0.18585347989123235,-0.7783705015527332,-0.6207610347013618,-0.628907982664876,5.551115123125783e-17,-0.4382063693586644
cuZ6iHGEXIt,0.0,-0.4822690518442979,0.04,0.8,0.38,-0.3036679657899012,2,0.0,-0.18585347989123235,-0.5019615439095223,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.3036679657899012
bBLGbb3W7DZ,0.0,0.0033901816962326,0.0592,1.186239366369258,0.38,-0.14495554131480762,2,0.0,-0.18585347989123235,0.0035286129845298764,-0.29481221789614964,-0.3030021440197771,5.551115123125783e-17,-0.14495554131480762
3kK9Nbpegft,0.0,0.9839343733618572,0.44420000000000004,8.94219555216749,0.38,0.759289930146536,3,0.0,-0.18585347989123235,1.0241113653666967,1.861378408736268,1.8644014594930234,5.551115123125783e-17,0.759289930146536
69ddOFxN1Pw,0.0,0.2755633055924452,0.1298,2.6264524580162045,0.38,0.0458992174532939,3,0.0,-0.18585347989123235,0.2868153819761443,0.10058273857202867,0.09946571034712326,5.551115123125783e-17,0.0458992174532939
3r5p0MzUNsK,0.0,-0.6865436776292442,0.04,0.8,0.38,-0.3568219086711749,1,0.0,-0.18585347989123235,-0.7145773154346174,-0.4023417244710649,-0.41093681699022194,5.551115123125783e-17,-0.3568219086711749
